mmsi,timestamp,lat,lon,sog,cog,vessel_name,vessel_type,source
-1609953032,2026-05-02 02:14:58+00:00,-10.6102166667,141.193008333,14.6,94.4,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 03:14:58+00:00,-10.6212,141.442521667,14.9,89.7,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 04:24:58+00:00,-10.6213083333,141.733235,14.6,88.9,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 05:39:50+00:00,-10.573515,141.958345,12.2,87.0,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 06:44:51+00:00,-10.5631833333,142.119878333,13.2,99.7,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 07:49:58+00:00,-10.5171583333,142.389805,16.5,121.0,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 08:59:58+00:00,-10.718255,142.64871,16.9,140.4,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 10:04:33+00:00,-10.92123,142.820725,15.8,166.0,,Cargo,AMSA_CTS_2026-05
-1609953032,2026-05-02 11:08:11+00:00,-11.1872116667,142.889041667,15.4,166.3,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 03:29:59+00:00,-10.6633016667,141.15012,12.9,88.2,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 04:29:59+00:00,-10.6645583333,141.372155,13.3,91.5,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 05:34:58+00:00,-10.6466566667,141.616973333,13.3,78.7,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 06:34:59+00:00,-10.6083366667,141.819068333,10.8,79.6,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 07:39:58+00:00,-10.5726433333,141.97699,7.0,87.1,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 08:44:57+00:00,-10.564595,142.125213333,14.8,80.4,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 09:44:57+00:00,-10.5244716667,142.367241667,14.0,114.1,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 10:49:58+00:00,-10.6370783333,142.579558333,12.6,140.9,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 11:54:49+00:00,-10.779595,142.741868333,12.1,115.8,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 12:54:59+00:00,-10.9513583333,142.828608333,12.6,166.4,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 13:59:50+00:00,-11.17419,142.884996667,12.9,167.0,,Cargo,AMSA_CTS_2026-05
-1617258361,2026-05-31 14:59:58+00:00,-11.3923433333,142.90757,13.3,177.8,,Cargo,AMSA_CTS_2026-05
-1687281739,2026-05-11 23:30:08+00:00,-10.3582316667,141.085421667,7.6,123.6,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 01:18:19+00:00,-10.4925266667,141.267755,7.6,125.1,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 02:38:08+00:00,-10.5910366667,141.397721667,7.4,126.4,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 03:39:58+00:00,-10.6376933333,141.511846667,7.0,97.8,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 04:39:58+00:00,-10.6434433333,141.62835,6.8,78.9,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 05:39:58+00:00,-10.620565,141.743756667,7.1,78.7,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 06:39:58+00:00,-10.5965266667,141.862903333,7.4,82.9,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 07:44:57+00:00,-10.5717033333,141.989056667,7.3,88.6,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 08:44:57+00:00,-10.567075,142.108845,6.7,99.8,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 09:44:57+00:00,-10.5252266667,142.18805,4.1,62.3,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 10:44:58+00:00,-10.5112216667,142.245716667,5.6,88.2,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 11:44:58+00:00,-10.47883,142.327893333,5.8,69.7,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 12:44:58+00:00,-10.47964,142.428615,6.2,98.1,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 13:49:58+00:00,-10.4465383333,142.54064,6.9,67.5,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 14:54:49+00:00,-10.3958733333,142.661303333,7.5,66.0,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 15:54:56+00:00,-10.340095,142.778795,7.8,63.3,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 16:54:56+00:00,-10.2783466667,142.899421667,8.2,59.1,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 17:54:57+00:00,-10.2052866667,143.01359,7.9,58.1,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 18:59:56+00:00,-10.11086,143.120201667,8.0,33.1,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 19:59:58+00:00,-9.99870166667,143.19438,7.7,30.8,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 21:04:58+00:00,-9.87254166667,143.259245,7.8,20.1,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 22:04:58+00:00,-9.75508333333,143.311646667,7.7,21.5,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-12 23:09:58+00:00,-9.62925,143.372086667,7.9,43.2,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-13 00:19:57+00:00,-9.51370333333,143.475931667,8.2,40.4,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-13 01:19:59+00:00,-9.42008666667,143.580716667,8.4,53.5,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-13 02:24:57+00:00,-9.33072333333,143.711726667,8.9,56.8,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-13 03:24:57+00:00,-9.24579166667,143.834791667,9.1,52.8,,Tug,AMSA_CTS_2026-05
-1687281739,2026-05-13 04:24:57+00:00,-9.24013333333,143.968508333,7.7,95.7,,Tug,AMSA_CTS_2026-05
-1728961214,2026-05-02 15:59:47+00:00,-10.35249,141.046666667,8.6,117.1,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 17:00:29+00:00,-10.41957,141.18192,8.7,115.6,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 18:04:49+00:00,-10.4902983333,141.323093333,6.3,117.7,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 19:09:48+00:00,-10.5400333333,141.417386667,5.7,121.5,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 20:14:50+00:00,-10.607785,141.542946667,5.8,114.9,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 21:19:48+00:00,-10.6081866667,141.68264,10.4,91.0,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 22:19:49+00:00,-10.5985733333,141.840426667,11.1,79.4,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-02 23:19:49+00:00,-10.5689583333,142.019586667,11.2,86.7,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 00:19:59+00:00,-10.52253,142.18412,9.3,56.3,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 01:24:49+00:00,-10.5086316667,142.33368,9.1,112.9,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 02:24:49+00:00,-10.576065,142.4836,9.6,115.1,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 03:29:19+00:00,-10.6889216667,142.618426667,9.7,139.9,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 04:32:49+00:00,-10.79354,142.766106667,11.1,114.6,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 05:32:50+00:00,-10.9544883333,142.82816,10.8,169.0,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 06:39:30+00:00,-11.1478883333,142.87888,10.7,164.1,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-03 08:19:38+00:00,-11.4345766667,142.913146667,10.3,170.3,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-26 03:14:46+00:00,-11.4300616667,142.986973333,11.7,7.0,,Unknown,AMSA_CTS_2026-05
-1728961214,2026-05-26 04:24:18+00:00,-11.2125583333,142.952373333,11.6,340.2,,Unknown,AMSA_CTS_2026-05
